LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size,BC
-901.4010112797412,481.5159736408184,487.0475901823903,481.5159736408184,487.034387414972,481.5159736407661,482.6735803681033,-219.2449165727551,486.5497712551164,0.0853188724929107,4272.09502622987,492.61891325965695,-698.292800951232,8199,219.92790719476056
-478.751407332731,492.50815554245776,492.5607914027832,492.50815554245776,492.5607927624346,492.50815554245776,492.5825590191941,-339.1764847104082,492.5101450796061,0.0165200066715601,3069.6790987662744,492.61891325965695,-698.292800951232,8199,218.59893135086963
-939.5666998528408,491.3778767786608,491.9096945614548,491.3778767786608,491.919827580983,491.3778767786608,492.1512974744421,-371.0301960861851,491.41619070077775,0.1308651234955105,4373.625986441882,492.61891325965695,-698.292800951232,8199,219.20633295657456
-412.0769396646272,490.6788095619248,491.296859312443,490.6788095619248,491.2973493073747,490.6788095619248,491.83300834458936,-379.5780778503107,490.7539207396368,0.1253213112551817,2571.872443349064,492.61891325965695,-698.292800951232,8199,219.60769505938384
-1134.6445004834975,488.5394835852254,490.3680597390945,488.5394835852254,490.6633114744699,488.5394835839086,489.22376470567343,-277.33907995965785,488.7543365762546,0.126745677946509,5285.900982460762,492.61891325965695,-698.292800951232,9099,219.86945328864442
-654.2645017996948,491.7418759773718,492.1447941042836,491.7418759778369,492.1447915259581,491.7418759778369,491.9090155927808,-328.22500332583945,492.1990031826769,0.0411845575608246,3787.4712960121615,492.61891325965695,-698.292800951232,9099,219.64575168860665
-587.7622044401319,490.89980974586126,491.71557806025066,490.89980974586126,491.7152315863776,490.89980974586126,491.0965292450768,-440.7911392190975,490.9215737553758,0.0344859797177375,3286.6253982836406,492.61891325965695,-698.292800951232,9099,219.80605600293364
-791.4886066763888,468.31181446464353,477.9836103451536,468.31181446541154,477.9836106515843,468.31181446541154,473.3687150926166,-105.03574964745437,473.3880071532542,0.159915913263438,4197.565911950883,492.61891325965695,-698.292800951232,9099,219.59866019156348
-1000.738612610606,491.77861978584247,492.2551290988826,491.77861978584247,492.2533671800351,491.77861978584247,491.77570380284016,-469.8952514997342,492.48724935213744,2.7476329009487115,4950.160319022281,492.61891325965695,-698.292800951232,9099,219.67546998349692
-791.4851405130346,490.2626446221375,490.959026008834,490.2626446221375,490.9590328732687,490.2626446221375,490.3522178269617,-662.1244730684632,492.5414221587167,0.0198141433630084,3957.666176625165,492.61891325965695,-698.292800951232,9099,218.85140074904857
-859.5883552289195,491.658557163752,492.0902181863665,491.658557163752,492.0907695768585,491.658557163752,491.9464389910203,-166.78220931306032,491.7107591220994,0.0532945053068026,4249.378546013722,492.61891325965695,-698.292800951232,9099,223.24280533852806
-523.2865444576382,491.5108653825264,492.0806481152342,491.5108653825264,492.0474662739314,491.5108653825264,491.8164249689533,-236.4718013787516,491.5572369064316,0.0661451134439413,3197.077188723673,492.61891325965695,-698.292800951232,9099,219.61718993429906
-954.485235910494,491.7298381267865,492.250992720779,491.7298381267865,492.2507202015652,491.7298381820233,491.73304326246136,-378.08675949888135,492.6040323634381,0.0029725662489672,4439.248478077925,492.61891325965695,-698.292800951232,9099,219.7933739667798
-406.1473502857677,470.3380881696826,481.7645403703174,470.33808816941655,481.2849484873551,470.33808816941655,472.2166807053329,-400.9334897571816,486.89723036420776,1.692507611991426,2751.735054527993,492.61891325965695,-698.292800951232,9099,220.10288115409205
